id,title,artist,genre,mood,energy,valence,intensity,Stinger,Action Level,Setting,Tension,intensity.1,dynamic_range,song_url
1,Time,Hans Zimmer,Cinematic,Epic/Melancholic,0.45,0.25,0.85,False,0.3,Climax/Resolution,0.75,0.85,0.9,https://soundcloud.com/haydigital/time-hans-zimmer
3,Rhubarb (#3),Aphex Twin,Ambient,Ethereal/Calm,0.1,0.55,0.15,False,0.05,Space/Dreams,0.1,0.15,0.2,https://soundcloud.com/0x07/rhubarb-3-by-aphex-twin-cover
6,Aruarian Dance,Nujabes,Lo-Fi Hip Hop,Peaceful/Reflective,0.4,0.75,0.35,False,0.2,Study/Sunset,0.15,0.35,0.3,https://soundcloud.com/tetsujin/nujabes-aruarian-dance
7,In Motion,Trent Reznor & Atticus Ross,Film Score,Driven/Tense,0.75,0.3,0.8,True,0.7,Hacking/Heist,0.85,0.8,0.65,https://soundcloud.com/jackstin/trent-reznor-atticus-ross-in-motion
8,Your Hand In Mine,Explosions in the Sky,Post-Rock,Emotional/Triumphant,0.5,0.65,0.85,False,0.4,Reunion/Montage,0.6,0.85,0.95,https://soundcloud.com/mikephlurry/explosions-in-the-sky-your-hand-in-mine/comment-1812083863
13,Wanna Fight,Cliff Martinez,Film Score,Pulsing/Tense,0.7,0.15,0.8,True,0.85,Standoff/Pre-Action,0.95,0.8,0.6,https://soundcloud.com/milanrecords/cliff-martinez-wanna-fight
15,Blade Runner Blues,Vangelis,Synth,Noir/Mysterious,0.25,0.3,0.5,False,0.15,Cyberpunk City/Rain,0.45,0.5,0.65,https://soundcloud.com/paul-schilling/blade-runner-blues-lead-demo
16,Light of the Seven,Ramin Djawadi,Soundtrack,Suspenseful/Climactic,0.35,0.15,0.9,True,0.55,Betrayal/Plot Reveal,0.95,0.9,0.95,NOT FOUND
17,Compass,Disasterpeace,Ambient/Chiptune,Mysterious/Eerie,0.3,0.4,0.4,False,0.2,Discovery/Cavern,0.5,0.4,0.35,https://soundcloud.com/jtrnqs/fez-compass
20,Cornfield Chase,Hans Zimmer,Cinematic,Urgent/Wonder,0.75,0.5,0.85,False,0.6,Chase/Discovery,0.7,0.85,0.8,https://soundcloud.com/hans-zimmer-official/cornfield-chase
22,Resonance,HOME,Synthwave,Nostalgic/Vibe,0.65,0.6,0.55,False,0.3,Retro/Cruising,0.25,0.55,0.4,https://soundcloud.com/user-107091116/home-resonance-but-its
26,Fallen Down,Toby Fox,Chiptune/Ambient,Gentle/Acceptance,0.2,0.65,0.15,False,0.05,Meeting/Safety,0.1,0.15,0.2,https://soundcloud.com/dubcloud-2/02-toby-fox-fallen-down
27,Undertale,Toby Fox,Acoustic/Soundtrack,Emotional/Reflective,0.35,0.55,0.5,False,0.2,Journey's End/Story,0.3,0.5,0.6,https://soundcloud.com/angrysausage/sets/undertale-toby-fox
